source_path,target_portal,target_path,generated,mdx_risk,status,owner,notes
content/dev/api/decisiones-arquitectura.mdx,tecnico,api/decisiones-arquitectura.mdx,false,low,ready,Abner Reyes,
content/dev/api/endpoints.mdx,tecnico,api/endpoints.mdx,true,low,ready,Auto-generated,Contenido generado; actualizar mediante su script de sincronización.
content/dev/api/especificacion.mdx,tecnico,api/especificacion.mdx,false,low,ready,Abner Reyes,
content/dev/api/index.mdx,tecnico,api/index.mdx,false,low,ready,Abner Reyes,
content/dev/api/integracion-frontend/autenticacion.mdx,tecnico,api/integracion-frontend/autenticacion.mdx,false,low,ready,Abner Reyes,
content/dev/api/integracion-frontend/best-practices.mdx,tecnico,api/integracion-frontend/best-practices.mdx,false,low,ready,Abner Reyes,
content/dev/api/integracion-frontend/ejemplos-modulos.mdx,tecnico,api/integracion-frontend/ejemplos-modulos.mdx,false,low,ready,Abner Reyes,
content/dev/api/integracion-frontend/endpoints.mdx,tecnico,api/integracion-frontend/endpoints.mdx,false,low,ready,Abner Reyes,
content/dev/api/integracion-frontend/index.mdx,tecnico,api/integracion-frontend/index.mdx,false,low,ready,Abner Reyes,
content/dev/api/integracion-frontend/manejo-errores.mdx,tecnico,api/integracion-frontend/manejo-errores.mdx,false,low,ready,Abner Reyes,
content/dev/api/integracion-frontend/setup.mdx,tecnico,api/integracion-frontend/setup.mdx,false,low,ready,Abner Reyes,
content/dev/api/integracion-frontend/testing.mdx,tecnico,api/integracion-frontend/testing.mdx,false,high,review,Abner Reyes,Revisar compatibilidad MDX antes de publicar.
content/dev/api/seguridad.mdx,tecnico,api/seguridad.mdx,false,low,ready,Abner Reyes,
content/dev/api/servicios-externos.mdx,tecnico,api/servicios-externos.mdx,false,low,ready,Abner Reyes,
content/dev/api/testing.mdx,tecnico,api/testing.mdx,false,low,ready,Abner Reyes,
content/dev/api/versionado.mdx,tecnico,api/versionado.mdx,false,low,ready,Abner Reyes,
